Agency,Posting Type,NUmber Of Positions,Business Title,Civil Service Title,Title Classification,Job Category,Time Indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Customer Service Representative, Bureau of Vital Statistics",CLERICAL ASSOCIATE,Competitive-1,Administration & Human Resources Constituent Services & Community Programs,F,Entry-Level,40017,62820,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Customer Service Representative, Bureau of Vital Statistics",CLERICAL ASSOCIATE,Competitive-1,Administration & Human Resources Constituent Services & Community Programs,F,Entry-Level,40017,62820,Annual
CAMPAIGN FINANCE BOARD,External,1,ASSOCIATE COUNSEL,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),75000,80000,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Contract Analyst,ASSOCIATE STAFF ANALYST,Competitive-1,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Experienced (non-manager),70611,81203,Annual
DISTRICT ATTORNEY RICHMOND COU,Internal,1,Deputy Director of Procurement,ADMINISTRATIVE PROCUREMENT ANA,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),58700,161534,Annual
TAX COMMISSION,Internal,1,City Assessor/Hearing Officer,"CITY ASSESSOR (I,II,IIIA,IIIB)",Competitive-1,"Policy, Research & Analysis",F,Experienced (non-manager),104119,116659,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,SENIOR PROJECT LEADER,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation Social Services",F,Experienced (non-manager),85371,98177,Annual
FINANCIAL INFO SVCS AGENCY,Internal,1,COLLEGE AIDE,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,Legal Affairs,F,Student,15.5,16,Hourly
LAW DEPARTMENT,External,2,"Assistant Corporation Counsel, Special Federal Litigation",ASSISTANT CORPORATION COUNSEL,Exempt-4,Legal Affairs,F,Experienced (non-manager),75121,133040,Annual
NYC EMPLOYEES RETIREMENT SYS,External,1,COMPUTER SPECIALIST (SOFTWARE),COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation",F,Entry-Level,76288,95077,Annual
BRONX DISTRICT ATTORNEY,Internal,10,Homicide Counsel - Assistant District Attorney,ASSISTANT DISTRICT ATTORNEY (S,Exempt-4,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Manager,165000,167610,Annual
DEPARTMENT OF CORRECTION,Internal,1,"Executive Director, Criminal Justice Bureau",ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Policy, Research & Analysis",F,Manager,72038,192152,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Child Protective Manager,DIRECTOR OF FIELD OPERATIONS (,Non-Competitive-5,Social Services,F,Experienced (non-manager),58700,102226,Annual
DEPARTMENT OF CORRECTION,External,4,Plumber,PLUMBER,Competitive-1,Building Operations & Maintenance,F,Entry-Level,52.79,52.79,Hourly
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Program Manager, Relay, Bureau of Alcohol and Drug Use, Prevention, Care, and Treatment",COMMUNITY COORDINATOR,Non-Competitive-5,Health,F,Experienced (non-manager),54100,83981,Annual
DEPARTMENT OF FINANCE,Internal,1,Assistant Manager,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,"Communications & Intergovernmental Affairs Policy, Research & Analysis",F,Experienced (non-manager),67499,69707,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,Investor Relations  FINANCING POLICY & COORDINATION,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Experienced (non-manager),73806,103307,Annual
DEPARTMENT OF CORRECTION,External,1,Senior Baker,SENIOR BAKER (CORRECTIONS),Non-Competitive-5,Health,F,Entry-Level,40604,45883,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,ASSOCIATE PUBLIC HEALTH SANITARIAN II,ASSOCIATE PUBLIC HEALTH SANITA,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),60673,91795,Annual
ADMIN FOR CHILDREN'S SVCS,External,2,Legal Case Assistant,COMMUNITY COORDINATOR,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),54100,83981,Annual
NYC HOUSING AUTHORITY,Internal,2,Assistant Resident Building,ASSISTANT RESIDENT BUILDING SU,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),49666,76064,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Machinist,MACHINIST,Competitive-1,Building Operations & Maintenance,F,Entry-Level,37.28,37.28,Hourly
OFFICE OF THE COMPTROLLER,Internal,3,"Attorney, Litigation Unit (3 positions)",AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),85000,95000,Annual
HOUSING PRESERVATION & DVLPMNT,External,1,Asset Manager for the Division of Asset Management,ASSOCIATE HOUSING DEVELOPMENT,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),74650,85847,Annual
DEPARTMENT OF FINANCE,External,1,Contract Manager,PROCUREMENT ANALYST,Competitive-1,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Experienced (non-manager),69012,88992,Annual
NYC HOUSING AUTHORITY,External,1,Senior Counsel,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,Legal Affairs,F,Manager,95000,105000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Public Health Advisor, Bureau of Public Health Clinics",PUBLIC HEALTH ADVISER,Competitive-1,Health,P,Experienced (non-manager),25.8101,32.8889,Hourly
DEPT OF HEALTH/MENTAL HYGIENE,External,1,Supervising Nurse PHN II,PUBLIC HEALTH NURSE,Competitive-1,Health,F,Manager,79039,79039,Annual
DEPARTMENT OF TRANSPORTATION,External,1,Information Security Engineer/Architect,IT SECURITY SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),75000,180000,Annual
DEPARTMENT OF CORRECTION,Internal,1,"Deputy Director, Workforce Development",ADMINISTRATIVE DIRECTOR OF SOC,Competitive-1,"Constituent Services & Community Programs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),75000,100000,Annual
DEPARTMENT OF CORRECTION,Internal,1,"Deputy Director, Workforce Development",ADMINISTRATIVE DIRECTOR OF SOC,Competitive-1,"Constituent Services & Community Programs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),75000,100000,Annual
POLICE DEPARTMENT,Internal,1,Senior Police Administrative Aide,SENIOR POLICE ADMINISTRATIVE A,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),43929,57093,Annual
BRONX DISTRICT ATTORNEY,Internal,2,Timekeeper: Human Resources,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,"Administration & Human Resources Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),51000,51000,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,SENIOR DIRECTOR OF TRAINING,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Administration & Human Resources Policy, Research & Analysis",F,Experienced (non-manager),94715,110000,Annual
POLICE DEPARTMENT,Internal,6,Police Administrative Aide,POLICE ADMINISTRATIVE AIDE,Competitive-1,Administration & Human Resources,F,Entry-Level,36390,55228,Annual
DEPT OF CITYWIDE ADMIN SVCS,External,1,"Project Manager, Innovative Technologies",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Engineering, Architecture, & Planning",F,Experienced (non-manager),75504,86830,Annual
CAMPAIGN FINANCE BOARD,Internal,2,SENIOR AUDITOR (2 POSITIONS),ANALYST CFB AL 2&3 ONLY,Pending Classification-2,"Finance, Accounting, & Procurement",F,Experienced (non-manager),80000,80000,Annual
DEPT. OF HOMELESS SERVICES,External,1,FAMILY WORKER,FRAUD INVESTIGATOR,Competitive-1,"Public Safety, Inspections, & Enforcement Social Services",F,Experienced (non-manager),51079,80478,Annual
DEPARTMENT OF CORRECTION,External,4,Legal Coordinator,LEGAL COORDINATOR,Competitive-1,Legal Affairs,F,Entry-Level,47418,54531,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMMUNITY LIASION,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,83981,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,2,"Public Health Adviser,  Optometry Program",PUBLIC HEALTH ADVISER (SCHOOL,Competitive-1,Constituent Services & Community Programs Health,P,Experienced (non-manager),21.41,24.62,Hourly
TAXI & LIMOUSINE COMMISSION,External,1,Director of Communications and Digital Media,ASSOCIATE STAFF ANALYST,Competitive-1,"Policy, Research & Analysis",F,Experienced (non-manager),70611,105138,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Field Scientist , Burau of Environmental Sciences and Engineering",SCIENTIST (WATER ECOLOGY),Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),52931,60871,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Project Engineer,ASSOCIATE PROJECT MANAGER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),67757,98128,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Stationary Engineer,STATIONARY ENGINEER,Competitive-1,"Engineering, Architecture, & Planning Health",F,Experienced (non-manager),508.8,508.8,Daily
NYC HOUSING AUTHORITY,Internal,1,ASSOCIATE STAFF ANALYST,ASSOCIATE STAFF ANALYST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),70611,105138,Annual
FIRE DEPARTMENT,Internal,1,Employee Assistance Program Specialist,EMPLOYEE ASSISTANCE PROGRAM SP,Non-Competitive-5,Health,F,Experienced (non-manager),54878,54878,Annual
TAXI & LIMOUSINE COMMISSION,External,2,Customer Experience Specialist,CLERICAL ASSOCIATE,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),40017,62820,Annual
NYC HOUSING AUTHORITY,External,7,ASSOCIATE LABOR RELATIONS ANALYST,ASSOCIATE LABOR RELATIONS ANAL,Competitive-1,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Experienced (non-manager),76294,76294,Annual
OFFICE OF THE COMPTROLLER,External,1,"Claim Specialist, Level II - Law Division",CLAIM SPECIALIST,Competitive-1,Legal Affairs,F,Experienced (non-manager),51079,58741,Annual
OFF OF PAYROLL ADMINISTRATION,External,1,College Aide,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,Administration & Human Resources,P,Student,15.5,19.9,Hourly
DEPARTMENT OF SANITATION,Internal,9,AUTO MECHANIC,AUTO MECHANIC,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),298.24,347.2,Daily
DEPARTMENT OF TRANSPORTATION,External,3,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,Competitive-1,"Administration & Human Resources Policy, Research & Analysis",F,Experienced (non-manager),57078,85646,Annual
DEPARTMENT OF TRANSPORTATION,Internal,2,Vision Zero Research Scientist,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Policy, Research & Analysis",F,Experienced (non-manager),75504,86830,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Project Manager,ASSOCIATE PROJECT MANAGER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),74650,109409,Annual
LAW DEPARTMENT,External,4,PARALEGAL SUPERVISOR - FAMILY COURT,PARALEGAL AIDE,Competitive-1,Legal Affairs,F,Experienced (non-manager),43197,49677,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,Analyst  Transportation,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,51550,73806,Annual
BRONX DISTRICT ATTORNEY,External,1,Deputy Bureau Chief - Child Abuse/Sex Crimes Bureau,ASSISTANT DISTRICT ATTORNEY (S,Exempt-4,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Manager,170000,170000,Annual
DEPT OF DESIGN & CONSTRUCTION,Internal,1,Business Growth Analyst,COMMUNITY COORDINATOR,Non-Competitive-5,Communications & Intergovernmental Affairs,F,Experienced (non-manager),54100,62215,Annual
DEPARTMENT OF CITY PLANNING,External,1,Human Capital Analyst,STAFF ANALYST,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),62470,71840,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Associate Commissioner,DIRECTOR OF FIELD OPERATIONS (,Non-Competitive-5,Social Services,F,Manager,88936,223761,Annual
DEPARTMENT OF CORRECTION,External,1,"Supervisor, Evidence Collection",CORRECTIONAL STANDARDS REVIEW,Non-Competitive-5,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),61302,70497,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,Chief HR Officer (Admin Labor Relations),ADMINISTRATIVE LABOR RELATIONS,Competitive-1,Administration & Human Resources,F,Manager,88936,160899,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,2,PROJECT DIRECTOR/TECHNICAL TEAM LEAD,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation Social Services",F,Experienced (non-manager),98901,113736,Annual
OFFICE OF THE COMPTROLLER,Internal,1,"Attorney, Law Division",AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),85000,95000,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,2,Port Marine Engineer,PORT MARINE ENGINEER (DEP),Non-Competitive-5,"Engineering, Architecture, & Planning",F,Experienced (non-manager),82330,116104,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,2,CASE REVIEWER,ELIGIBILITY SPECIALIST,Competitive-1,Social Services,F,Experienced (non-manager),37748,57043,Annual
NYC HOUSING AUTHORITY,External,1,PLASTERER,PLASTERER,Competitive-1,Building Operations & Maintenance,F,Entry-Level,48.27,48.27,Hourly
DEPARTMENT OF BUSINESS SERV.,Internal,1,Content Manager - FMA,COMPUTER ASSOC (OPERATIONS),Competitive-1,"Technology, Data & Innovation",,Experienced (non-manager),61470,91589,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Operations Manager,COMMUNITY COORDINATOR,Non-Competitive-5,Administration & Human Resources Social Services,F,Experienced (non-manager),54100,75000,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,ATTORNEY II,AGENCY ATTORNEY,Non-Competitive-5,Social Services,F,Manager,71423,107032,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,SOFTWARE ENGINEER,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation Social Services",F,Experienced (non-manager),90000,115000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Training and Clinical Systems Coordinator, MHQIN in BMIRH, Bureau of Maternal Infant and Reproductive Health",PUBLIC HEALTH EDUCATOR,Competitive-1,Health,F,Experienced (non-manager),62282,80000,Annual
DEPT OF DESIGN & CONSTRUCTION,External,1,Safety Auditor,INDUSTRIAL HYGIENIST,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),56041,75318,Annual
FIRE DEPARTMENT,Internal,1,"Assistant Commissioner, Legal Affairs",EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,Legal Affairs,F,Executive,72038,192152,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Inspector, Bureau of Veterinary and Pest Control Services",PUBLIC HEALTH SANITARIAN,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),45722,52580,Annual
MAYORS OFFICE OF CONTRACT SVCS,Internal,1,"Junior Quality Assurance Engineer, Chief Information Office",RESEARCH PROJECTS COOR(MA)-MGR,Pending Classification-2,"Technology, Data & Innovation",F,Entry-Level,58700,66000,Annual
FIRE DEPARTMENT,Internal,1,First Deputy Agency Procurement Officer,EXECUTIVE PROGRAM SPECIALIST (,Exempt-4,"Finance, Accounting, & Procurement",F,Manager,72038,192152,Annual
DEPARTMENT OF CITY PLANNING,External,1,CHIEF INFORMATION OFFICER,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation",F,Manager,145000,160000,Annual
NYC EMPLOYEES RETIREMENT SYS,Internal,1,ADMINISTRATIVE ACCOUNTANT,ADMINISTRATIVE ACCOUNTANT,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),58700,161534,Annual
ADMIN FOR CHILDREN'S SVCS,External,5,Conference Facilitator,CHILD AND FAMILY SPECIALIST,Competitive-1,Social Services,F,Experienced (non-manager),73027,87622,Annual
OFFICE OF THE COMPTROLLER,Internal,1,Investment Officer- Public Equity,INVESTMENT MANAGER (COMPTROLLE,Non-Competitive-5,"Finance, Accounting, & Procurement",F,Manager,110000,133900,Annual
NYC HOUSING AUTHORITY,External,1,CARETAKER X,CARETAKER (HA),Labor-3,Building Operations & Maintenance,F,Entry-Level,31836,46278,Annual
CONSUMER AND WORKER PROTECTION,Internal,1,Human Capital Assistant / College Aide,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,Administration & Human Resources,P,Student,15.5,19.9,Hourly
ADMIN FOR CHILDREN'S SVCS,Internal,1,Special Assistant to Detention,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,62215,Annual
LAW DEPARTMENT,Internal,1,PARALEGAL SUPERVISOR,PARALEGAL AIDE,Competitive-1,Legal Affairs,F,Experienced (non-manager),43197,60449,Annual
LAW DEPARTMENT,Internal,1,PARALEGAL SUPERVISOR,PARALEGAL AIDE,Competitive-1,Legal Affairs,F,Experienced (non-manager),43197,60449,Annual
MAYORS OFFICE OF CONTRACT SVCS,External,1,"Analyst, Risk Management",RESEARCH PROJECTS COORDINATOR,Pending Classification-2,"Communications & Intergovernmental Affairs Legal Affairs Policy, Research & Analysis",F,Entry-Level,50000,55000,Annual
TAXI & LIMOUSINE COMMISSION,Internal,6,Prosecuting Attorney,AGENCY ATTORNEY INTERNE,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),62397,71757,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"City Custodial Assistant, Bureau of Operations",CITY CUSTODIAL ASSISTANT,Labor-3,Administration & Human Resources Health Building Operations & Maintenance,P,Experienced (non-manager),15.4502,15.4502,Hourly
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Senior Data Analyst, Bureau of Equitable Health Systems",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Constituent Services & Community Programs Health Policy, Research & Analysis",P,Experienced (non-manager),46.2332,57.42,Hourly
DEPARTMENT OF BUSINESS SERV.,Internal,1,WEB PRODUCER - FMA,COMPUTER ASSOC (SOFTWARE),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),76584,112111,Annual
NYC HOUSING AUTHORITY,Internal,1,SUPERVISING HOUSING GROUNDSKEEPER,SUPERVISING HOUSING GROUNDSKEE,Competitive-1,Building Operations & Maintenance,F,Entry-Level,40065,65449,Annual
LAW DEPARTMENT,Internal,1,Staff Analyst Trainee - Litigation Support,STAFF ANALYST TRAINEE,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),42150,58163,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Senior Contract Analyst, Bureau of Mental Health",ASSOCIATE CONTRACT SPECIALIST,Competitive-1,"Finance, Accounting, & Procurement Health",F,Experienced (non-manager),60193,75000,Annual
FINANCIAL INFO SVCS AGENCY,Internal,1,WEBSPHERE ADMINISTRATOR,IT INFRASTRUCTURE ENGINEER,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),120000,128000,Annual
NYC HOUSING AUTHORITY,External,1,Assistant Project Manager,ASSOCIATE PROJECT MANAGER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),74650,109409,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,Analyst  Anti-Corruption,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,36812,84395,Annual
DEPARTMENT OF SANITATION,External,1,ASSOCIATE PROJECT MANAGER,ASSOCIATE PROJECT MANAGER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),74650,109409,Annual
